Country,GDP 2021,GDP 2022
Luxembourg,85506243833.78157,82274812250.91861
Latvia,39725383601.21254,41153912662.86203
"Macao SAR, China",30123795336.893147,21979475560.621407
St. Martin (French part),,
Morocco,142866583124.69638,134181587769.79614
Monaco,8596156573.643272,
Moldova,13692230147.058825,14420947883.597883
Madagascar,14554754115.211184,14954967604.407259
Maldives,5405557161.737986,6189865408.231585
Middle East & North Africa,3740992832406.2637,4414423065617.276
Mexico,1272838810896.0928,1414187193992.2544
Marshall Islands,259538700.0,279667900.0
Middle income,36484623143283.16,38607082913361.586
North Macedonia,13825049831.79586,13563132057.248617
Mali,19309463505.983288,18827176532.31688
Malta,17743376199.352325,17765270014.7571
Myanmar,65124769601.748184,59364362540.552376
Middle East & North Africa (excluding high income),1507013655174.512,1676993028171.1729
Montenegro,5861430525.584474,6095978867.699293
Mongolia,15286441740.129005,16810883360.91299
Northern Mariana Islands,,
Mozambique,15776757419.519743,17851491427.676495
Mauritania,9996240418.707838,10375460680.436108
Mauritius,11476433603.781378,12898307089.131454
Malawi,12602334123.763706,13164667626.9363
Malaysia,372981073017.74945,406305924656.0707
North America,25323694505423.92,27610090523673.81
Namibia,12446290854.897345,12607436975.945955
New Caledonia,10071349707.158087,
Niger,14915002098.497534,13969605582.520235
Nigeria,440833583992.48505,477386120635.8448
Nicaragua,14145852100.759087,15671583877.971224
Netherlands,1011798853061.9993,991114635529.1868
Norway,490293364377.1828,579267365866.3429
Nepal,36924841430.05738,40828247302.485085
Nauru,145536603.23479125,150922211.04425794
New Zealand,255551704625.83112,247234053739.26712
OECD members,58363931312919.02,59596537275134.086
Oman,88191977373.21198,114667360208.06242
Other small states,455685066365.31055,529870616389.9291
Pakistan,348262544719.2473,376532751806.9892
Panama,67406738051.7437,76522511780.6222
Peru,223717791482.57712,242631549613.2684
Philippines,394087362017.3178,404284327311.7132
Palau,217800000.0,
Papua New Guinea,26311656000.00001,30633444294.63102
Poland,679441900610.6633,688176605954.7872
Pre-demographic dividend,1429588429473.921,1612324668164.5354
Puerto Rico,106368900000.0,113434800000.0
"Korea, Dem. People's Rep.",,
Portugal,253982847571.0153,251945377529.38815
Paraguay,39950899733.22703,41722295362.0667
West Bank and Gaza,18109000000.0,19111900000.0
Pacific island small states,9475964549.328531,10226024919.577957
Post-demographic dividend,55517131326677.69,56446942040860.14
French Polynesia,6080359305.28965,
Qatar,179677131707.2945,237295575171.10327
Romania,285404683024.53656,301261582924.0851
Russia,1836892075547.524,2240422438363.274
Rwanda,11055281971.045393,13312796765.23364
South Asia,4062783801939.271,4361631457999.0166
Saudi Arabia,868585871464.5413,1108148978218.488
Sudan,34229513774.993607,51662241775.24254
Senegal,27569136728.25647,27684430244.490704
Singapore,423796995372.7262,466788539651.83636
Solomon Islands,1580303517.1709242,1595710784.3137255
Sierra Leone,4249234573.9870777,3970343852.319387
El Salvador,29451240000.0,32488720000.0
San Marino,1855382833.1467772,
Somalia,7628000011.46357,8126105600.000003
Serbia,63082021205.9295,63501748652.29682
Sub-Saharan Africa (excluding high income),1925171173472.2737,2045758612586.371
South Sudan,,
Sub-Saharan Africa,1926457861345.4578,2047347019065.5261
Small states,540833833541.3434,633046575611.1572
Sao Tome and Principe,526653790.6708138,546680341.6472744
Suriname,2984706243.6548223,3620655116.2207355
Slovakia,118656591909.26553,115468803971.54324
Slovenia,61748586534.867226,62117768014.85627
Sweden,636856236396.2393,585939170123.856
Eswatini,4748702400.662831,4854167638.373884
Sint Maarten (Dutch part),1384636871.50838,1571564245.8100557
Seychelles,1286687873.1844692,1588406479.1551094
Syrian Arab Republic,,
Turks and Caicos Islands,1044778790.0000001,1138808881.1
Chad,11779981332.159912,12704149842.037258
East Asia & Pacific (IDA & IBRD countries),20811347144902.63,21162883158375.414
Europe & Central Asia (IDA & IBRD countries),4615367974096.263,5185102776173.973
Togo,8334047485.513962,8126439480.613023
Thailand,505568057004.2543,495340592811.1878
